R,G,B
32,44,248
40,48,248
40,48,248
40,44,248
40,44,248
32,48,248
32,48,248
40,44,248
40,44,248
40,40,248
40,44,248
40,40,248
40,44,248
40,40,248
32,40,248
32,36,248
32,36,248
40,36,248
32,32,248
32,36,248
32,36,240
32,36,232
32,40,240
40,40,232
40,40,232
40,36,232
40,36,232
40,36,224
40,36,224
40,40,216
40,36,216
40,36,216
40,36,216
40,36,208
40,36,208
40,36,200
40,36,200
40,32,192
40,32,184
40,32,184
40,32,184
40,28,176
32,24,176
32,24,168
32,24,168
24,20,160
24,20,152
24,24,144
24,20,144
16,20,136
16,20,136
24,16,120
24,16,120
16,16,112
16,16,112
16,12,112
8,12,112
16,12,104
16,12,104
16,12,96
8,12,88
16,12,88
8,8,88
16,12,80
16,8,80
8,12,80
8,12,80
16,8,72
16,8,72
8,8,72
8,8,72
8,8,72
8,8,72
8,8,80
8,8,80
8,4,80
8,4,80
0,8,80
8,8,80
8,8,80
8,8,80
8,8,80
8,8,80
8,8,80
8,8,80
0,8,80
8,8,80
8,8,88
8,8,88
8,8,96
8,8,96
0,8,104
8,12,104
8,8,104
8,8,104
8,8,112
8,8,112
0,8,112
8,12,112
8,12,128
8,12,128
8,12,128
16,12,128
16,12,136
16,12,136
8,12,144
8,12,152
16,16,160
16,16,160
16,16,160
16,16,168
16,16,168
16,20,168
16,20,184
24,20,184
24,16,200
24,20,200
24,24,208
24,24,208
32,20,208
24,20,216
24,24,224
24,24,224
24,24,224
24,28,224
32,28,224
32,32,232
24,32,240
32,32,240
32,32,248
32,32,248
32,36,248
32,36,248
32,40,248
32,40,248
32,40,248
32,40,248
32,44,248
32,44,248
32,44,248
32,44,248
32,44,248
40,44,248
32,48,248
32,48,248
40,48,248
40,48,248
40,52,248
40,52,248
40,52,248
40,56,248
40,56,248
40,56,248
32,56,248
32,56,248
32,56,248
32,52,248
32,52,248
32,52,248
32,48,248
32,48,248
40,52,248
